loading data...Twoway_Layer::random_fill(): limit = 0.103695 ni = 93 no = 50
Twoway_Layer::random_fill(): limit = 0.141421 ni = 50 no = 1
iter  ---- train ----  ---- test -----
         rmse     auc     rmse     auc
   0  0.88000 0.00000  0.85020 0.18558
   1  0.81884 0.00000  0.83631 0.18165
   2  0.84327 0.00000  0.83395 0.18055
   3  0.82151 0.00000  0.83218 0.17961
   4  0.83253 0.00000  0.83143 0.17911
   5  0.81185 0.00000  0.83083 0.17866
   6  0.81086 0.00000  0.83052 0.17841
   7  0.79674 0.00000  0.83038 0.17812
   8  0.80782 0.00000  0.83044 0.17803
   9  0.80938 0.00000  0.83047 0.17791
  10  0.81029 0.00000  0.83031 0.17786
  11  0.79491 0.00000  0.83036 0.17778
  12  0.81094 0.00000  0.82924 0.17738
  13  0.80869 0.00000  0.82885 0.17718
  14  0.82205 0.00000  0.82840 0.17699
  15  0.81116 0.00000  0.82843 0.17700
  16  0.81141 0.00000  0.82821 0.17690
  17  0.79171 0.00000  0.82821 0.17673
  18  0.82407 0.00000  0.82769 0.17656
  19  0.81488 0.00000  0.82736 0.17639
  20  0.79654 0.00000  0.82741 0.17638
  21  0.82127 0.00000  0.82720 0.17632
  22  0.83293 0.00000  0.82691 0.17625
  23  0.80468 0.00000  0.82692 0.17623
  24  0.80907 0.00000  0.82693 0.17618
  25  0.79896 0.00000  0.82692 0.17611
  26  0.81811 0.00000  0.82664 0.17603
  27  0.81632 0.00000  0.82639 0.17590
  28  0.80508 0.00000  0.82668 0.17596
  29  0.83316 0.00000  0.82602 0.17575
  30  0.80049 0.00000  0.82592 0.17568
  31  0.79520 0.00000  0.82601 0.17567
  32  0.81881 0.00000  0.82567 0.17552
  33  0.81421 0.00000  0.82570 0.17557
  34  0.82696 0.00000  0.82546 0.17543
  35  0.82666 0.00000  0.82538 0.17542
  36  0.79509 0.00000  0.82571 0.17553
  37  0.81226 0.00000  0.82553 0.17545
  38  0.79375 0.00000  0.82549 0.17540
  39  0.82411 0.00000  0.82519 0.17531
  40  0.81973 0.00000  0.82512 0.17529
  41  0.82647 0.00000  0.82495 0.17515
  42  0.82086 0.00000  0.82493 0.17517
  43  0.81794 0.00000  0.82503 0.17522
  44  0.81051 0.00000  0.82514 0.17526
  45  0.81498 0.00000  0.82568 0.17536
  46  0.81681 0.00000  0.82542 0.17528
  47  0.80694 0.00000  0.82501 0.17517
  48  0.80306 0.00000  0.82550 0.17528
  49  0.82750 0.00000  0.82523 0.17521
  50  0.80194 0.00000  0.82524 0.17520
  51  0.82225 0.00000  0.82465 0.17500
  52  0.80670 0.00000  0.82468 0.17500
  53  0.81903 0.00000  0.82447 0.17493
  54  0.81604 0.00000  0.82451 0.17493
  55  0.81114 0.00000  0.82446 0.17492
  56  0.80670 0.00000  0.82458 0.17496
  57  0.79994 0.00000  0.82446 0.17491
  58  0.81505 0.00000  0.82433 0.17485
  59  0.81577 0.00000  0.82444 0.17490
  60  0.81041 0.00000  0.82444 0.17491
  61  0.82165 0.00000  0.82432 0.17486
  62  0.79925 0.00000  0.82448 0.17492
  63  0.81196 0.00000  0.82430 0.17485
  64  0.81438 0.00000  0.82433 0.17485
  65  0.81753 0.00000  0.82436 0.17486
  66  0.80914 0.00000  0.82458 0.17493
  67  0.81018 0.00000  0.82483 0.17496
  68  0.80523 0.00000  0.82495 0.17499
  69  0.82088 0.00000  0.82501 0.17498
  70  0.81332 0.00000  0.82525 0.17500
  71  0.82109 0.00000  0.82489 0.17493
  72  0.81608 0.00000  0.82453 0.17485
  73  0.81944 0.00000  0.82461 0.17483
  74  0.80398 0.00000  0.82428 0.17477
  75  0.83271 0.00000  0.82468 0.17483
  76  0.81105 0.00000  0.82471 0.17483
  77  0.81976 0.00000  0.82449 0.17479
  78  0.80171 0.00000  0.82458 0.17483
  79  0.82322 0.00000  0.82490 0.17486
  80  0.80856 0.00000  0.82449 0.17480
  81  0.80273 0.00000  0.82441 0.17481
  82  0.80657 0.00000  0.82461 0.17485
  83  0.81286 0.00000  0.82445 0.17480
  84  0.82013 0.00000  0.82449 0.17480
  85  0.80708 0.00000  0.82455 0.17481
  86  0.81169 0.00000  0.82446 0.17478
  87  0.79572 0.00000  0.82453 0.17481
  88  0.80775 0.00000  0.82456 0.17481
  89  0.80473 0.00000  0.82502 0.17488
  90  0.80832 0.00000  0.82450 0.17481
  91  0.79818 0.00000  0.82440 0.17479
  92  0.81485 0.00000  0.82427 0.17475
  93  0.82068 0.00000  0.82417 0.17471
  94  0.81739 0.00000  0.82428 0.17474
  95  0.80772 0.00000  0.82416 0.17470
  96  0.79749 0.00000  0.82424 0.17475
  97  0.81937 0.00000  0.82422 0.17472
  98  0.80274 0.00000  0.82418 0.17471
  99  0.81940 0.00000  0.82424 0.17472
 100  0.80173 0.00000  0.82425 0.17474
 101  0.81321 0.00000  0.82426 0.17474
 102  0.80089 0.00000  0.82416 0.17471
 103  0.81335 0.00000  0.82425 0.17473
 104  0.79244 0.00000  0.82419 0.17472
 105  0.80087 0.00000  0.82417 0.17470
 106  0.81657 0.00000  0.82418 0.17469
 107  0.80089 0.00000  0.82432 0.17475
 108  0.81026 0.00000  0.82428 0.17473
 109  0.80956 0.00000  0.82447 0.17476
 110  0.80464 0.00000  0.82437 0.17475
 111  0.80381 0.00000  0.82422 0.17471
 112  0.81815 0.00000  0.82455 0.17476
 113  0.82057 0.00000  0.82448 0.17475
 114  0.81876 0.00000  0.82455 0.17475
 115  0.81100 0.00000  0.82458 0.17475
