loading data...Twoway_Layer::random_fill(): limit = 0.103695 ni = 93 no = 50
Twoway_Layer::random_fill(): limit = 0.141421 ni = 50 no = 1
iter  ---- train ----  ---- test -----
         rmse     auc     rmse     auc
   0  0.51494 0.00000  0.46915 0.00000
   1  0.46411 0.00000  0.45791 0.00000
   2  0.46879 0.00000  0.45510 0.00000
   3  0.45346 0.00000  0.45334 0.00000
   4  0.45872 0.00000  0.45246 0.00000
   5  0.45515 0.00000  0.45182 0.00000
   6  0.45307 0.00000  0.45115 0.00000
   7  0.45738 0.00000  0.45045 0.00000
   8  0.46197 0.00000  0.44989 0.00000
   9  0.45170 0.00000  0.44930 0.00000
  10  0.44620 0.00000  0.44881 0.00000
  11  0.44734 0.00000  0.44833 0.00000
  12  0.45468 0.00000  0.44781 0.00000
  13  0.45036 0.00000  0.44744 0.00000
  14  0.44693 0.00000  0.44699 0.00000
  15  0.45956 0.00000  0.44656 0.00000
  16  0.44402 0.00000  0.44614 0.00000
  17  0.44295 0.00000  0.44579 0.00000
  18  0.43550 0.00000  0.44548 0.00000
  19  0.44467 0.00000  0.44514 0.00000
  20  0.46155 0.00000  0.44487 0.00000
  21  0.44792 0.00000  0.44460 0.00000
  22  0.44373 0.00000  0.44429 0.00000
  23  0.45437 0.00000  0.44403 0.00000
  24  0.43856 0.00000  0.44393 0.00000
  25  0.43170 0.00000  0.44363 0.00000
  26  0.45412 0.00000  0.44339 0.00000
  27  0.44872 0.00000  0.44325 0.00000
  28  0.44998 0.00000  0.44304 0.00000
  29  0.44355 0.00000  0.44284 0.00000
  30  0.45122 0.00000  0.44266 0.00000
  31  0.44200 0.00000  0.44247 0.00000
  32  0.44144 0.00000  0.44234 0.00000
  33  0.45241 0.00000  0.44238 0.00000
  34  0.43791 0.00000  0.44210 0.00000
  35  0.45339 0.00000  0.44193 0.00000
  36  0.43783 0.00000  0.44183 0.00000
  37  0.44828 0.00000  0.44165 0.00000
  38  0.43895 0.00000  0.44152 0.00000
  39  0.45163 0.00000  0.44141 0.00000
  40  0.45119 0.00000  0.44141 0.00000
  41  0.44385 0.00000  0.44125 0.00000
  42  0.43777 0.00000  0.44114 0.00000
  43  0.43866 0.00000  0.44098 0.00000
  44  0.43302 0.00000  0.44089 0.00000
  45  0.44082 0.00000  0.44091 0.00000
  46  0.44529 0.00000  0.44081 0.00000
  47  0.43183 0.00000  0.44064 0.00000
  48  0.44665 0.00000  0.44061 0.00000
  49  0.43778 0.00000  0.44056 0.00000
  50  0.44541 0.00000  0.44048 0.00000
  51  0.44464 0.00000  0.44036 0.00000
  52  0.44727 0.00000  0.44032 0.00000
  53  0.44947 0.00000  0.44025 0.00000
  54  0.43063 0.00000  0.44016 0.00000
  55  0.44499 0.00000  0.44016 0.00000
  56  0.44780 0.00000  0.44018 0.00000
  57  0.43840 0.00000  0.44011 0.00000
  58  0.43795 0.00000  0.43997 0.00000
  59  0.44863 0.00000  0.43993 0.00000
  60  0.44339 0.00000  0.43995 0.00000
  61  0.43250 0.00000  0.43988 0.00000
  62  0.45460 0.00000  0.43987 0.00000
  63  0.44115 0.00000  0.43979 0.00000
  64  0.43469 0.00000  0.43975 0.00000
  65  0.43279 0.00000  0.43968 0.00000
  66  0.44241 0.00000  0.43963 0.00000
  67  0.44146 0.00000  0.43962 0.00000
  68  0.43432 0.00000  0.43966 0.00000
  69  0.44601 0.00000  0.43957 0.00000
  70  0.43634 0.00000  0.43959 0.00000
  71  0.43708 0.00000  0.43943 0.00000
  72  0.44671 0.00000  0.43948 0.00000
  73  0.43991 0.00000  0.43940 0.00000
  74  0.44325 0.00000  0.43941 0.00000
  75  0.42313 0.00000  0.43940 0.00000
  76  0.44264 0.00000  0.43940 0.00000
