loading data...Twoway_Layer::random_fill(): limit = 0.103695 ni = 93 no = 50
Twoway_Layer::random_fill(): limit = 0.141421 ni = 50 no = 1
iter  ---- train ----  ---- test -----
         rmse     auc     rmse     auc
   0  0.62541 0.00000  0.52053 0.00000
   1  0.49007 0.00000  0.46756 0.00000
   2  0.46107 0.00000  0.45288 0.00000
   3  0.44906 0.00000  0.44845 0.00000
   4  0.44688 0.00000  0.44628 0.00000
   5  0.44596 0.00000  0.44525 0.00000
   6  0.44591 0.00000  0.44487 0.00000
   7  0.44425 0.00000  0.44455 0.00000
   8  0.44219 0.00000  0.44424 0.00000
   9  0.44200 0.00000  0.44407 0.00000
  10  0.44463 0.00000  0.44394 0.00000
  11  0.43834 0.00000  0.44371 0.00000
  12  0.44711 0.00000  0.44350 0.00000
  13  0.43255 0.00000  0.44330 0.00000
  14  0.45200 0.00000  0.44323 0.00000
  15  0.44499 0.00000  0.44299 0.00000
  16  0.44599 0.00000  0.44287 0.00000
  17  0.44085 0.00000  0.44269 0.00000
  18  0.43960 0.00000  0.44257 0.00000
  19  0.43954 0.00000  0.44244 0.00000
  20  0.44427 0.00000  0.44227 0.00000
  21  0.43579 0.00000  0.44217 0.00000
  22  0.44677 0.00000  0.44216 0.00000
  23  0.43897 0.00000  0.44202 0.00000
  24  0.44444 0.00000  0.44199 0.00000
  25  0.44026 0.00000  0.44183 0.00000
  26  0.44174 0.00000  0.44164 0.00000
  27  0.44748 0.00000  0.44168 0.00000
  28  0.45034 0.00000  0.44163 0.00000
  29  0.43729 0.00000  0.44142 0.00000
  30  0.44177 0.00000  0.44130 0.00000
  31  0.43967 0.00000  0.44119 0.00000
  32  0.44801 0.00000  0.44118 0.00000
  33  0.44158 0.00000  0.44105 0.00000
  34  0.44324 0.00000  0.44113 0.00000
  35  0.44660 0.00000  0.44093 0.00000
  36  0.44363 0.00000  0.44081 0.00000
  37  0.44076 0.00000  0.44077 0.00000
  38  0.43469 0.00000  0.44071 0.00000
  39  0.43901 0.00000  0.44068 0.00000
  40  0.43531 0.00000  0.44058 0.00000
  41  0.43378 0.00000  0.44055 0.00000
  42  0.44421 0.00000  0.44048 0.00000
  43  0.43879 0.00000  0.44042 0.00000
  44  0.43644 0.00000  0.44036 0.00000
  45  0.44445 0.00000  0.44040 0.00000
  46  0.44130 0.00000  0.44030 0.00000
  47  0.43536 0.00000  0.44025 0.00000
  48  0.44517 0.00000  0.44027 0.00000
  49  0.43667 0.00000  0.44021 0.00000
  50  0.43444 0.00000  0.44017 0.00000
  51  0.44320 0.00000  0.44021 0.00000
  52  0.44196 0.00000  0.44025 0.00000
  53  0.43351 0.00000  0.44013 0.00000
  54  0.44168 0.00000  0.44018 0.00000
  55  0.42831 0.00000  0.44007 0.00000
  56  0.43736 0.00000  0.44000 0.00000
  57  0.44491 0.00000  0.43997 0.00000
