loading data...Twoway_Layer::random_fill(): limit = 0.103695 ni = 93 no = 50
Twoway_Layer::random_fill(): limit = 0.141421 ni = 50 no = 1
iter  ---- train ----  ---- test -----
         rmse     auc     rmse     auc
   0  0.58140 0.00000  0.50301 0.00000
   1  0.47535 0.00000  0.46174 0.00000
   2  0.45325 0.00000  0.45161 0.00000
   3  0.44686 0.00000  0.44818 0.00000
   4  0.43923 0.00000  0.44689 0.00000
   5  0.44310 0.00000  0.44637 0.00000
   6  0.44157 0.00000  0.44597 0.00000
   7  0.44196 0.00000  0.44567 0.00000
   8  0.44242 0.00000  0.44542 0.00000
   9  0.44086 0.00000  0.44518 0.00000
  10  0.44361 0.00000  0.44496 0.00000
  11  0.44044 0.00000  0.44477 0.00000
  12  0.44398 0.00000  0.44459 0.00000
  13  0.43861 0.00000  0.44438 0.00000
  14  0.44407 0.00000  0.44417 0.00000
  15  0.43819 0.00000  0.44400 0.00000
  16  0.44132 0.00000  0.44385 0.00000
  17  0.43930 0.00000  0.44367 0.00000
  18  0.43707 0.00000  0.44353 0.00000
  19  0.44034 0.00000  0.44339 0.00000
  20  0.44250 0.00000  0.44321 0.00000
  21  0.43886 0.00000  0.44306 0.00000
  22  0.44028 0.00000  0.44290 0.00000
  23  0.43787 0.00000  0.44278 0.00000
  24  0.43927 0.00000  0.44267 0.00000
  25  0.43808 0.00000  0.44253 0.00000
  26  0.43931 0.00000  0.44240 0.00000
  27  0.43975 0.00000  0.44228 0.00000
  28  0.44042 0.00000  0.44222 0.00000
  29  0.43579 0.00000  0.44214 0.00000
  30  0.43687 0.00000  0.44202 0.00000
  31  0.43780 0.00000  0.44194 0.00000
  32  0.43964 0.00000  0.44183 0.00000
  33  0.43800 0.00000  0.44174 0.00000
  34  0.44056 0.00000  0.44166 0.00000
  35  0.43612 0.00000  0.44154 0.00000
  36  0.43501 0.00000  0.44144 0.00000
  37  0.43661 0.00000  0.44137 0.00000
  38  0.43660 0.00000  0.44130 0.00000
  39  0.43614 0.00000  0.44125 0.00000
  40  0.43801 0.00000  0.44114 0.00000
  41  0.43629 0.00000  0.44106 0.00000
  42  0.43782 0.00000  0.44101 0.00000
  43  0.43406 0.00000  0.44091 0.00000
  44  0.43740 0.00000  0.44088 0.00000
  45  0.43857 0.00000  0.44081 0.00000
  46  0.43785 0.00000  0.44073 0.00000
  47  0.43651 0.00000  0.44068 0.00000
  48  0.43858 0.00000  0.44059 0.00000
  49  0.43646 0.00000  0.44052 0.00000
  50  0.43833 0.00000  0.44049 0.00000
  51  0.43561 0.00000  0.44043 0.00000
  52  0.43683 0.00000  0.44040 0.00000
  53  0.43980 0.00000  0.44039 0.00000
  54  0.43203 0.00000  0.44035 0.00000
  55  0.43306 0.00000  0.44030 0.00000
  56  0.43484 0.00000  0.44027 0.00000
  57  0.43760 0.00000  0.44022 0.00000
  58  0.43513 0.00000  0.44021 0.00000
  59  0.43982 0.00000  0.44018 0.00000
  60  0.43694 0.00000  0.44014 0.00000
  61  0.44146 0.00000  0.44010 0.00000
  62  0.43650 0.00000  0.44003 0.00000
  63  0.43592 0.00000  0.43999 0.00000
  64  0.43566 0.00000  0.43996 0.00000
  65  0.43436 0.00000  0.43995 0.00000
  66  0.43623 0.00000  0.43993 0.00000
  67  0.43976 0.00000  0.43991 0.00000
  68  0.43255 0.00000  0.43990 0.00000
  69  0.43707 0.00000  0.43989 0.00000
  70  0.43356 0.00000  0.43983 0.00000
  71  0.43558 0.00000  0.43981 0.00000
  72  0.43387 0.00000  0.43979 0.00000
  73  0.43778 0.00000  0.43980 0.00000
  74  0.43750 0.00000  0.43978 0.00000
  75  0.43856 0.00000  0.43975 0.00000
  76  0.43824 0.00000  0.43970 0.00000
  77  0.43680 0.00000  0.43967 0.00000
  78  0.43536 0.00000  0.43967 0.00000
  79  0.43442 0.00000  0.43960 0.00000
  80  0.43279 0.00000  0.43959 0.00000
  81  0.43591 0.00000  0.43956 0.00000
  82  0.43295 0.00000  0.43954 0.00000
  83  0.43607 0.00000  0.43953 0.00000
  84  0.43298 0.00000  0.43950 0.00000
  85  0.43478 0.00000  0.43952 0.00000
  86  0.43248 0.00000  0.43952 0.00000
  87  0.43599 0.00000  0.43949 0.00000
  88  0.43681 0.00000  0.43947 0.00000
  89  0.43656 0.00000  0.43949 0.00000
  90  0.43686 0.00000  0.43949 0.00000
  91  0.43358 0.00000  0.43948 0.00000
  92  0.43508 0.00000  0.43947 0.00000
  93  0.43726 0.00000  0.43944 0.00000
  94  0.43482 0.00000  0.43945 0.00000
  95  0.43698 0.00000  0.43944 0.00000
  96  0.43512 0.00000  0.43943 0.00000
  97  0.43471 0.00000  0.43941 0.00000
  98  0.43244 0.00000  0.43940 0.00000
  99  0.43788 0.00000  0.43941 0.00000
 100  0.43641 0.00000  0.43940 0.00000
 101  0.43732 0.00000  0.43940 0.00000
 102  0.43552 0.00000  0.43938 0.00000
 103  0.43670 0.00000  0.43939 0.00000
 104  0.43552 0.00000  0.43938 0.00000
 105  0.43688 0.00000  0.43937 0.00000
 106  0.43616 0.00000  0.43938 0.00000
 107  0.43543 0.00000  0.43937 0.00000
 108  0.43631 0.00000  0.43937 0.00000
 109  0.43145 0.00000  0.43937 0.00000
 110  0.43857 0.00000  0.43938 0.00000
 111  0.43974 0.00000  0.43939 0.00000
 112  0.43740 0.00000  0.43941 0.00000
 113  0.43660 0.00000  0.43939 0.00000
 114  0.43646 0.00000  0.43938 0.00000
 115  0.43697 0.00000  0.43939 0.00000
 116  0.43710 0.00000  0.43939 0.00000
 117  0.43730 0.00000  0.43939 0.00000
 118  0.43669 0.00000  0.43936 0.00000
 119  0.43944 0.00000  0.43937 0.00000
 120  0.43511 0.00000  0.43935 0.00000
 121  0.43691 0.00000  0.43935 0.00000
 122  0.43578 0.00000  0.43934 0.00000
 123  0.43205 0.00000  0.43935 0.00000
 124  0.43448 0.00000  0.43935 0.00000
 125  0.43640 0.00000  0.43933 0.00000
 126  0.43799 0.00000  0.43932 0.00000
 127  0.43771 0.00000  0.43933 0.00000
 128  0.43950 0.00000  0.43933 0.00000
 129  0.43676 0.00000  0.43935 0.00000
 130  0.43712 0.00000  0.43935 0.00000
 131  0.43759 0.00000  0.43935 0.00000
 132  0.43391 0.00000  0.43932 0.00000
 133  0.43515 0.00000  0.43934 0.00000
 134  0.43346 0.00000  0.43933 0.00000
 135  0.43668 0.00000  0.43933 0.00000
 136  0.43445 0.00000  0.43932 0.00000
 137  0.43876 0.00000  0.43931 0.00000
 138  0.43593 0.00000  0.43931 0.00000
 139  0.43893 0.00000  0.43932 0.00000
 140  0.43448 0.00000  0.43930 0.00000
 141  0.43356 0.00000  0.43929 0.00000
 142  0.43799 0.00000  0.43931 0.00000
 143  0.43859 0.00000  0.43931 0.00000
 144  0.43700 0.00000  0.43932 0.00000
 145  0.43786 0.00000  0.43931 0.00000
 146  0.43693 0.00000  0.43933 0.00000
 147  0.43569 0.00000  0.43932 0.00000
 148  0.43815 0.00000  0.43935 0.00000
 149  0.43305 0.00000  0.43933 0.00000
 150  0.43666 0.00000  0.43934 0.00000
 151  0.43687 0.00000  0.43932 0.00000
 152  0.43401 0.00000  0.43931 0.00000
 153  0.43529 0.00000  0.43929 0.00000
 154  0.43554 0.00000  0.43928 0.00000
 155  0.43532 0.00000  0.43928 0.00000
 156  0.43393 0.00000  0.43926 0.00000
 157  0.43502 0.00000  0.43927 0.00000
 158  0.43432 0.00000  0.43930 0.00000
 159  0.43618 0.00000  0.43931 0.00000
 160  0.43365 0.00000  0.43930 0.00000
