loading data...Twoway_Layer::random_fill(): limit = 0.103695 ni = 93 no = 50
Twoway_Layer::random_fill(): limit = 0.141421 ni = 50 no = 1
iter  ---- train ----  ---- test -----
         rmse     auc     rmse     auc
   0  0.52782 0.00000  0.47149 0.00000
   1  0.46187 0.00000  0.45527 0.00000
   2  0.46421 0.00000  0.45048 0.00000
   3  0.44799 0.00000  0.44817 0.00000
   4  0.45354 0.00000  0.44738 0.00000
   5  0.45078 0.00000  0.44687 0.00000
   6  0.44768 0.00000  0.44646 0.00000
   7  0.45104 0.00000  0.44610 0.00000
   8  0.45733 0.00000  0.44576 0.00000
   9  0.44660 0.00000  0.44542 0.00000
  10  0.44207 0.00000  0.44511 0.00000
  11  0.44320 0.00000  0.44483 0.00000
  12  0.45017 0.00000  0.44453 0.00000
  13  0.44697 0.00000  0.44431 0.00000
  14  0.44388 0.00000  0.44408 0.00000
  15  0.45588 0.00000  0.44382 0.00000
  16  0.44042 0.00000  0.44354 0.00000
  17  0.43941 0.00000  0.44333 0.00000
  18  0.43276 0.00000  0.44315 0.00000
  19  0.44105 0.00000  0.44294 0.00000
  20  0.45947 0.00000  0.44279 0.00000
  21  0.44546 0.00000  0.44265 0.00000
  22  0.44089 0.00000  0.44244 0.00000
  23  0.45205 0.00000  0.44229 0.00000
  24  0.43624 0.00000  0.44219 0.00000
  25  0.42984 0.00000  0.44202 0.00000
  26  0.45261 0.00000  0.44189 0.00000
  27  0.44722 0.00000  0.44184 0.00000
  28  0.44813 0.00000  0.44171 0.00000
  29  0.44171 0.00000  0.44158 0.00000
  30  0.44992 0.00000  0.44145 0.00000
  31  0.44108 0.00000  0.44132 0.00000
  32  0.44045 0.00000  0.44123 0.00000
  33  0.45141 0.00000  0.44130 0.00000
  34  0.43670 0.00000  0.44105 0.00000
  35  0.45210 0.00000  0.44096 0.00000
  36  0.43634 0.00000  0.44092 0.00000
  37  0.44695 0.00000  0.44080 0.00000
  38  0.43781 0.00000  0.44071 0.00000
  39  0.45046 0.00000  0.44064 0.00000
  40  0.45007 0.00000  0.44069 0.00000
  41  0.44276 0.00000  0.44056 0.00000
  42  0.43689 0.00000  0.44049 0.00000
  43  0.43760 0.00000  0.44037 0.00000
  44  0.43260 0.00000  0.44031 0.00000
  45  0.44004 0.00000  0.44037 0.00000
  46  0.44488 0.00000  0.44029 0.00000
  47  0.43114 0.00000  0.44016 0.00000
  48  0.44608 0.00000  0.44015 0.00000
  49  0.43695 0.00000  0.44013 0.00000
  50  0.44513 0.00000  0.44009 0.00000
  51  0.44432 0.00000  0.43998 0.00000
  52  0.44682 0.00000  0.43996 0.00000
  53  0.44892 0.00000  0.43991 0.00000
  54  0.43028 0.00000  0.43982 0.00000
  55  0.44453 0.00000  0.43985 0.00000
  56  0.44725 0.00000  0.43991 0.00000
  57  0.43820 0.00000  0.43985 0.00000
  58  0.43760 0.00000  0.43973 0.00000
  59  0.44834 0.00000  0.43970 0.00000
  60  0.44287 0.00000  0.43974 0.00000
  61  0.43230 0.00000  0.43968 0.00000
  62  0.45422 0.00000  0.43968 0.00000
  63  0.44056 0.00000  0.43962 0.00000
  64  0.43437 0.00000  0.43960 0.00000
  65  0.43254 0.00000  0.43954 0.00000
  66  0.44230 0.00000  0.43951 0.00000
  67  0.44133 0.00000  0.43950 0.00000
  68  0.43430 0.00000  0.43953 0.00000
  69  0.44576 0.00000  0.43945 0.00000
  70  0.43612 0.00000  0.43949 0.00000
  71  0.43682 0.00000  0.43933 0.00000
  72  0.44651 0.00000  0.43938 0.00000
  73  0.43953 0.00000  0.43933 0.00000
  74  0.44292 0.00000  0.43935 0.00000
  75  0.42298 0.00000  0.43935 0.00000
  76  0.44260 0.00000  0.43937 0.00000
  77  0.43447 0.00000  0.43936 0.00000
  78  0.44807 0.00000  0.43941 0.00000
  79  0.43193 0.00000  0.43942 0.00000
  80  0.44285 0.00000  0.43936 0.00000
  81  0.43236 0.00000  0.43928 0.00000
  82  0.44720 0.00000  0.43928 0.00000
  83  0.43927 0.00000  0.43928 0.00000
  84  0.44220 0.00000  0.43933 0.00000
  85  0.44247 0.00000  0.43931 0.00000
  86  0.43801 0.00000  0.43923 0.00000
  87  0.42898 0.00000  0.43923 0.00000
  88  0.44135 0.00000  0.43924 0.00000
  89  0.43105 0.00000  0.43922 0.00000
  90  0.43646 0.00000  0.43933 0.00000
  91  0.44302 0.00000  0.43925 0.00000
  92  0.45272 0.00000  0.43936 0.00000
  93  0.42555 0.00000  0.43916 0.00000
  94  0.44054 0.00000  0.43922 0.00000
  95  0.43747 0.00000  0.43918 0.00000
  96  0.43474 0.00000  0.43922 0.00000
  97  0.43992 0.00000  0.43921 0.00000
  98  0.43287 0.00000  0.43919 0.00000
  99  0.44488 0.00000  0.43918 0.00000
 100  0.44560 0.00000  0.43923 0.00000
 101  0.44276 0.00000  0.43922 0.00000
 102  0.43345 0.00000  0.43914 0.00000
 103  0.44516 0.00000  0.43913 0.00000
 104  0.44310 0.00000  0.43911 0.00000
 105  0.44566 0.00000  0.43919 0.00000
 106  0.43583 0.00000  0.43903 0.00000
 107  0.43992 0.00000  0.43904 0.00000
 108  0.43390 0.00000  0.43901 0.00000
 109  0.43492 0.00000  0.43900 0.00000
 110  0.44173 0.00000  0.43901 0.00000
 111  0.44161 0.00000  0.43907 0.00000
 112  0.42719 0.00000  0.43906 0.00000
 113  0.42721 0.00000  0.43903 0.00000
 114  0.42951 0.00000  0.43904 0.00000
 115  0.43345 0.00000  0.43906 0.00000
 116  0.43571 0.00000  0.43907 0.00000
 117  0.43165 0.00000  0.43901 0.00000
 118  0.44052 0.00000  0.43904 0.00000
 119  0.43147 0.00000  0.43906 0.00000
 120  0.43868 0.00000  0.43902 0.00000
 121  0.43628 0.00000  0.43906 0.00000
 122  0.43264 0.00000  0.43910 0.00000
