loading data...Twoway_Layer::random_fill(): limit = 0.103695 ni = 93 no = 50
Twoway_Layer::random_fill(): limit = 0.141421 ni = 50 no = 1
iter  ---- train ----  ---- test -----
         rmse     auc     rmse     auc
   0  0.58805 0.00000  0.51487 0.00000
   1  0.48401 0.00000  0.46747 0.00000
   2  0.45661 0.00000  0.45344 0.00000
   3  0.44744 0.00000  0.44805 0.00000
   4  0.43883 0.00000  0.44568 0.00000
   5  0.44158 0.00000  0.44467 0.00000
   6  0.43934 0.00000  0.44403 0.00000
   7  0.43997 0.00000  0.44358 0.00000
   8  0.44062 0.00000  0.44324 0.00000
   9  0.43898 0.00000  0.44296 0.00000
  10  0.44159 0.00000  0.44277 0.00000
  11  0.43851 0.00000  0.44261 0.00000
  12  0.44221 0.00000  0.44248 0.00000
  13  0.43672 0.00000  0.44233 0.00000
  14  0.44235 0.00000  0.44218 0.00000
  15  0.43648 0.00000  0.44207 0.00000
  16  0.43975 0.00000  0.44197 0.00000
  17  0.43783 0.00000  0.44185 0.00000
  18  0.43563 0.00000  0.44178 0.00000
  19  0.43885 0.00000  0.44170 0.00000
  20  0.44112 0.00000  0.44158 0.00000
  21  0.43755 0.00000  0.44149 0.00000
  22  0.43889 0.00000  0.44139 0.00000
  23  0.43650 0.00000  0.44132 0.00000
  24  0.43803 0.00000  0.44125 0.00000
  25  0.43690 0.00000  0.44116 0.00000
  26  0.43826 0.00000  0.44108 0.00000
  27  0.43875 0.00000  0.44101 0.00000
  28  0.43941 0.00000  0.44099 0.00000
  29  0.43477 0.00000  0.44095 0.00000
  30  0.43585 0.00000  0.44087 0.00000
  31  0.43680 0.00000  0.44083 0.00000
  32  0.43879 0.00000  0.44077 0.00000
  33  0.43705 0.00000  0.44072 0.00000
  34  0.43972 0.00000  0.44067 0.00000
  35  0.43535 0.00000  0.44060 0.00000
  36  0.43434 0.00000  0.44053 0.00000
  37  0.43596 0.00000  0.44049 0.00000
  38  0.43597 0.00000  0.44045 0.00000
  39  0.43544 0.00000  0.44043 0.00000
  40  0.43743 0.00000  0.44035 0.00000
  41  0.43563 0.00000  0.44029 0.00000
  42  0.43719 0.00000  0.44027 0.00000
  43  0.43351 0.00000  0.44020 0.00000
  44  0.43687 0.00000  0.44019 0.00000
  45  0.43808 0.00000  0.44014 0.00000
  46  0.43736 0.00000  0.44009 0.00000
  47  0.43602 0.00000  0.44005 0.00000
  48  0.43814 0.00000  0.43998 0.00000
  49  0.43602 0.00000  0.43994 0.00000
  50  0.43798 0.00000  0.43992 0.00000
  51  0.43529 0.00000  0.43988 0.00000
  52  0.43644 0.00000  0.43987 0.00000
  53  0.43930 0.00000  0.43988 0.00000
  54  0.43173 0.00000  0.43985 0.00000
  55  0.43277 0.00000  0.43982 0.00000
  56  0.43455 0.00000  0.43980 0.00000
  57  0.43725 0.00000  0.43977 0.00000
  58  0.43476 0.00000  0.43977 0.00000
  59  0.43955 0.00000  0.43976 0.00000
  60  0.43664 0.00000  0.43974 0.00000
  61  0.44115 0.00000  0.43971 0.00000
  62  0.43630 0.00000  0.43966 0.00000
  63  0.43571 0.00000  0.43963 0.00000
  64  0.43539 0.00000  0.43961 0.00000
  65  0.43413 0.00000  0.43962 0.00000
  66  0.43608 0.00000  0.43960 0.00000
  67  0.43958 0.00000  0.43959 0.00000
  68  0.43242 0.00000  0.43959 0.00000
  69  0.43687 0.00000  0.43959 0.00000
  70  0.43347 0.00000  0.43955 0.00000
  71  0.43546 0.00000  0.43954 0.00000
  72  0.43370 0.00000  0.43953 0.00000
  73  0.43757 0.00000  0.43955 0.00000
  74  0.43741 0.00000  0.43953 0.00000
  75  0.43844 0.00000  0.43951 0.00000
  76  0.43818 0.00000  0.43947 0.00000
  77  0.43668 0.00000  0.43945 0.00000
  78  0.43524 0.00000  0.43945 0.00000
  79  0.43437 0.00000  0.43939 0.00000
  80  0.43279 0.00000  0.43938 0.00000
  81  0.43586 0.00000  0.43936 0.00000
  82  0.43288 0.00000  0.43934 0.00000
  83  0.43602 0.00000  0.43934 0.00000
  84  0.43297 0.00000  0.43932 0.00000
  85  0.43473 0.00000  0.43934 0.00000
  86  0.43244 0.00000  0.43934 0.00000
  87  0.43591 0.00000  0.43932 0.00000
  88  0.43683 0.00000  0.43930 0.00000
  89  0.43648 0.00000  0.43932 0.00000
  90  0.43681 0.00000  0.43933 0.00000
  91  0.43360 0.00000  0.43933 0.00000
  92  0.43509 0.00000  0.43932 0.00000
  93  0.43723 0.00000  0.43930 0.00000
  94  0.43484 0.00000  0.43931 0.00000
  95  0.43697 0.00000  0.43929 0.00000
  96  0.43514 0.00000  0.43929 0.00000
  97  0.43474 0.00000  0.43927 0.00000
  98  0.43243 0.00000  0.43927 0.00000
  99  0.43785 0.00000  0.43928 0.00000
 100  0.43636 0.00000  0.43926 0.00000
 101  0.43729 0.00000  0.43927 0.00000
 102  0.43554 0.00000  0.43925 0.00000
 103  0.43671 0.00000  0.43926 0.00000
 104  0.43552 0.00000  0.43925 0.00000
 105  0.43687 0.00000  0.43924 0.00000
 106  0.43617 0.00000  0.43925 0.00000
 107  0.43542 0.00000  0.43924 0.00000
 108  0.43632 0.00000  0.43924 0.00000
 109  0.43143 0.00000  0.43925 0.00000
 110  0.43856 0.00000  0.43925 0.00000
 111  0.43972 0.00000  0.43926 0.00000
 112  0.43735 0.00000  0.43928 0.00000
 113  0.43663 0.00000  0.43927 0.00000
 114  0.43644 0.00000  0.43926 0.00000
 115  0.43693 0.00000  0.43926 0.00000
 116  0.43710 0.00000  0.43926 0.00000
 117  0.43730 0.00000  0.43926 0.00000
 118  0.43671 0.00000  0.43923 0.00000
 119  0.43938 0.00000  0.43923 0.00000
 120  0.43512 0.00000  0.43922 0.00000
 121  0.43693 0.00000  0.43922 0.00000
 122  0.43577 0.00000  0.43921 0.00000
 123  0.43209 0.00000  0.43921 0.00000
 124  0.43447 0.00000  0.43922 0.00000
 125  0.43643 0.00000  0.43919 0.00000
 126  0.43797 0.00000  0.43919 0.00000
 127  0.43768 0.00000  0.43919 0.00000
 128  0.43949 0.00000  0.43919 0.00000
 129  0.43672 0.00000  0.43920 0.00000
 130  0.43710 0.00000  0.43920 0.00000
 131  0.43757 0.00000  0.43920 0.00000
 132  0.43393 0.00000  0.43917 0.00000
 133  0.43515 0.00000  0.43919 0.00000
 134  0.43345 0.00000  0.43918 0.00000
