loading data...Twoway_Layer::random_fill(): limit = 0.141421 ni = 50 no = 50
Twoway_Layer::random_fill(): limit = 0.141421 ni = 50 no = 1
iter  ---- train ----  ---- test -----
         rmse     auc     rmse     auc
   0  0.99734 0.00000  0.97759 0.33580
   1  0.97276 0.00000  0.96503 0.33014
   2  0.96942 0.00000  0.96038 0.32914
   3  0.96185 0.00000  0.95776 0.32831
   4  0.96440 0.00000  0.95662 0.32812
   5  0.96572 0.00000  0.95581 0.32801
   6  0.96330 0.00000  0.95512 0.32776
   7  0.96511 0.00000  0.95465 0.32770
   8  0.95906 0.00000  0.95424 0.32733
   9  0.96408 0.00000  0.95399 0.32720
  10  0.96243 0.00000  0.95381 0.32701
  11  0.96137 0.00000  0.95354 0.32681
  12  0.95729 0.00000  0.95318 0.32655
  13  0.96146 0.00000  0.95307 0.32641
  14  0.96063 0.00000  0.95301 0.32629
  15  0.95625 0.00000  0.95280 0.32612
  16  0.96157 0.00000  0.95277 0.32598
  17  0.96343 0.00000  0.95283 0.32593
  18  0.95541 0.00000  0.95252 0.32571
  19  0.95840 0.00000  0.95246 0.32561
  20  0.96601 0.00000  0.95268 0.32563
  21  0.95844 0.00000  0.95245 0.32547
  22  0.95858 0.00000  0.95230 0.32535
  23  0.95613 0.00000  0.95219 0.32524
  24  0.96109 0.00000  0.95222 0.32522
  25  0.95993 0.00000  0.95222 0.32513
  26  0.95602 0.00000  0.95209 0.32502
  27  0.95725 0.00000  0.95201 0.32495
  28  0.95380 0.00000  0.95184 0.32482
  29  0.95959 0.00000  0.95184 0.32479
  30  0.95779 0.00000  0.95184 0.32474
  31  0.95954 0.00000  0.95193 0.32470
  32  0.95884 0.00000  0.95186 0.32465
  33  0.95771 0.00000  0.95178 0.32461
  34  0.95569 0.00000  0.95167 0.32457
  35  0.95437 0.00000  0.95157 0.32450
  36  0.95691 0.00000  0.95157 0.32447
  37  0.95392 0.00000  0.95145 0.32443
  38  0.95329 0.00000  0.95136 0.32436
  39  0.95636 0.00000  0.95141 0.32431
  40  0.95908 0.00000  0.95143 0.32428
  41  0.95817 0.00000  0.95146 0.32425
  42  0.95456 0.00000  0.95138 0.32421
  43  0.96411 0.00000  0.95158 0.32420
  44  0.96009 0.00000  0.95159 0.32417
  45  0.95427 0.00000  0.95142 0.32415
  46  0.95761 0.00000  0.95141 0.32410
  47  0.95747 0.00000  0.95142 0.32407
  48  0.95561 0.00000  0.95133 0.32403
  49  0.95333 0.00000  0.95121 0.32399
  50  0.95749 0.00000  0.95126 0.32396
  51  0.95682 0.00000  0.95128 0.32394
  52  0.95738 0.00000  0.95131 0.32392
  53  0.95685 0.00000  0.95133 0.32390
  54  0.95578 0.00000  0.95131 0.32387
  55  0.95867 0.00000  0.95134 0.32385
  56  0.95897 0.00000  0.95141 0.32383
  57  0.95767 0.00000  0.95140 0.32380
  58  0.96044 0.00000  0.95149 0.32378
  59  0.96130 0.00000  0.95157 0.32376
  60  0.95683 0.00000  0.95155 0.32374
  61  0.95956 0.00000  0.95155 0.32372
  62  0.95781 0.00000  0.95151 0.32370
  63  0.95607 0.00000  0.95145 0.32369
  64  0.95864 0.00000  0.95146 0.32367
  65  0.95580 0.00000  0.95141 0.32366
  66  0.95782 0.00000  0.95148 0.32364
  67  0.95667 0.00000  0.95147 0.32362
  68  0.95385 0.00000  0.95139 0.32361
  69  0.95440 0.00000  0.95134 0.32360
  70  0.95458 0.00000  0.95131 0.32359
  71  0.95864 0.00000  0.95138 0.32358
  72  0.95783 0.00000  0.95144 0.32356
  73  0.95885 0.00000  0.95149 0.32355
  74  0.95224 0.00000  0.95138 0.32354
  75  0.95579 0.00000  0.95138 0.32353
  76  0.95375 0.00000  0.95133 0.32352
  77  0.95679 0.00000  0.95137 0.32351
  78  0.95603 0.00000  0.95140 0.32351
  79  0.95454 0.00000  0.95138 0.32350
  80  0.95418 0.00000  0.95138 0.32350
  81  0.95773 0.00000  0.95146 0.32349
  82  0.95197 0.00000  0.95138 0.32349
