loading data...Twoway_Layer::random_fill(): limit = 0.141421 ni = 50 no = 50
Twoway_Layer::random_fill(): limit = 0.141421 ni = 50 no = 1
iter  ---- train ----  ---- test -----
         rmse     auc     rmse     auc
   0  0.97323 0.00000  0.76270 0.07848
   1  0.72691 0.00000  0.66897 0.06538
   2  0.66290 0.00000  0.63873 0.06416
   3  0.64311 0.00000  0.62619 0.06376
   4  0.62959 0.00000  0.62074 0.06360
   5  0.62843 0.00000  0.61815 0.06349
   6  0.63055 0.00000  0.61660 0.06340
   7  0.61869 0.00000  0.61559 0.06331
   8  0.62715 0.00000  0.61507 0.06322
   9  0.62212 0.00000  0.61465 0.06315
  10  0.61966 0.00000  0.61436 0.06309
  11  0.62475 0.00000  0.61414 0.06304
  12  0.62264 0.00000  0.61398 0.06298
  13  0.62561 0.00000  0.61384 0.06292
  14  0.61996 0.00000  0.61358 0.06285
  15  0.62100 0.00000  0.61342 0.06279
  16  0.62103 0.00000  0.61332 0.06274
  17  0.62277 0.00000  0.61320 0.06268
  18  0.62064 0.00000  0.61314 0.06263
  19  0.62896 0.00000  0.61307 0.06258
  20  0.62587 0.00000  0.61293 0.06255
  21  0.62561 0.00000  0.61287 0.06251
  22  0.62264 0.00000  0.61280 0.06248
  23  0.62508 0.00000  0.61271 0.06244
  24  0.62712 0.00000  0.61267 0.06241
  25  0.62238 0.00000  0.61260 0.06237
  26  0.62307 0.00000  0.61253 0.06234
  27  0.62146 0.00000  0.61249 0.06231
  28  0.62791 0.00000  0.61243 0.06226
  29  0.61627 0.00000  0.61229 0.06224
  30  0.62032 0.00000  0.61227 0.06221
  31  0.62094 0.00000  0.61226 0.06219
  32  0.62395 0.00000  0.61221 0.06216
  33  0.61710 0.00000  0.61219 0.06214
  34  0.62545 0.00000  0.61213 0.06212
  35  0.62255 0.00000  0.61208 0.06211
  36  0.61876 0.00000  0.61201 0.06209
  37  0.62082 0.00000  0.61204 0.06208
  38  0.62025 0.00000  0.61201 0.06205
  39  0.62112 0.00000  0.61196 0.06202
  40  0.62575 0.00000  0.61200 0.06200
  41  0.62096 0.00000  0.61199 0.06199
  42  0.62025 0.00000  0.61197 0.06197
  43  0.62193 0.00000  0.61196 0.06195
  44  0.61823 0.00000  0.61191 0.06194
  45  0.62460 0.00000  0.61201 0.06192
  46  0.61945 0.00000  0.61187 0.06191
  47  0.62036 0.00000  0.61192 0.06190
  48  0.61673 0.00000  0.61183 0.06189
  49  0.61789 0.00000  0.61188 0.06188
  50  0.62101 0.00000  0.61193 0.06187
  51  0.62166 0.00000  0.61187 0.06186
  52  0.62216 0.00000  0.61189 0.06184
  53  0.61954 0.00000  0.61191 0.06183
  54  0.61873 0.00000  0.61191 0.06182
  55  0.63038 0.00000  0.61199 0.06181
  56  0.62181 0.00000  0.61204 0.06179
  57  0.61741 0.00000  0.61206 0.06179
  58  0.61592 0.00000  0.61195 0.06179
  59  0.62179 0.00000  0.61195 0.06179
  60  0.61659 0.00000  0.61190 0.06178
  61  0.61929 0.00000  0.61198 0.06177
  62  0.62230 0.00000  0.61196 0.06176
  63  0.61864 0.00000  0.61200 0.06175
  64  0.61626 0.00000  0.61200 0.06175
  65  0.62396 0.00000  0.61204 0.06174
  66  0.61482 0.00000  0.61201 0.06174
  67  0.62322 0.00000  0.61207 0.06173
  68  0.62559 0.00000  0.61218 0.06172
  69  0.62285 0.00000  0.61214 0.06172
  70  0.61929 0.00000  0.61215 0.06172
  71  0.62042 0.00000  0.61224 0.06171
  72  0.62369 0.00000  0.61226 0.06171
  73  0.62626 0.00000  0.61222 0.06170
  74  0.61808 0.00000  0.61222 0.06170
  75  0.61602 0.00000  0.61217 0.06170
  76  0.61875 0.00000  0.61217 0.06170
  77  0.62044 0.00000  0.61226 0.06169
  78  0.61911 0.00000  0.61226 0.06170
  79  0.62195 0.00000  0.61233 0.06170
  80  0.62369 0.00000  0.61240 0.06170
  81  0.62365 0.00000  0.61245 0.06169
  82  0.61975 0.00000  0.61245 0.06169
  83  0.61705 0.00000  0.61243 0.06169
  84  0.62498 0.00000  0.61252 0.06169
  85  0.62046 0.00000  0.61251 0.06169
  86  0.62196 0.00000  0.61257 0.06170
  87  0.62514 0.00000  0.61261 0.06169
  88  0.62288 0.00000  0.61267 0.06169
  89  0.61786 0.00000  0.61265 0.06169
  90  0.62110 0.00000  0.61267 0.06169
  91  0.62178 0.00000  0.61271 0.06169
  92  0.61877 0.00000  0.61270 0.06169
  93  0.62560 0.00000  0.61279 0.06169
  94  0.61871 0.00000  0.61281 0.06169
  95  0.62027 0.00000  0.61289 0.06169
  96  0.61357 0.00000  0.61284 0.06169
  97  0.62622 0.00000  0.61291 0.06169
  98  0.61865 0.00000  0.61288 0.06170
  99  0.61932 0.00000  0.61289 0.06170
 100  0.62653 0.00000  0.61302 0.06170
 101  0.62047 0.00000  0.61298 0.06171
 102  0.62183 0.00000  0.61305 0.06171
 103  0.61384 0.00000  0.61296 0.06172
 104  0.62513 0.00000  0.61306 0.06171
 105  0.61793 0.00000  0.61307 0.06172
 106  0.62316 0.00000  0.61316 0.06172
 107  0.61674 0.00000  0.61314 0.06172
 108  0.62581 0.00000  0.61325 0.06171
 109  0.62670 0.00000  0.61334 0.06172
 110  0.62395 0.00000  0.61337 0.06172
 111  0.62054 0.00000  0.61333 0.06172
 112  0.61933 0.00000  0.61336 0.06173
 113  0.61624 0.00000  0.61336 0.06173
 114  0.62416 0.00000  0.61342 0.06173
 115  0.62395 0.00000  0.61348 0.06174
 116  0.62148 0.00000  0.61354 0.06175
 117  0.61992 0.00000  0.61353 0.06175
 118  0.61371 0.00000  0.61346 0.06175
 119  0.62746 0.00000  0.61358 0.06176
 120  0.61927 0.00000  0.61358 0.06176
 121  0.62043 0.00000  0.61363 0.06176
 122  0.62565 0.00000  0.61377 0.06176
 123  0.61864 0.00000  0.61376 0.06177
 124  0.61631 0.00000  0.61375 0.06177
 125  0.62053 0.00000  0.61372 0.06178
