loading data...Twoway_Layer::random_fill(): limit = 0.141421 ni = 50 no = 50
Twoway_Layer::random_fill(): limit = 0.141421 ni = 50 no = 1
iter  ---- train ----  ---- test -----
         rmse     auc     rmse     auc
   0  0.50001 0.00000  0.47692 0.00000
   1  0.46138 0.00000  0.46005 0.00000
   2  0.45248 0.00000  0.45479 0.00000
   3  0.45620 0.00000  0.45274 0.00000
   4  0.44663 0.00000  0.45131 0.00000
   5  0.44790 0.00000  0.45069 0.00000
   6  0.45495 0.00000  0.45029 0.00000
   7  0.44721 0.00000  0.44991 0.00000
   8  0.44260 0.00000  0.44959 0.00000
   9  0.44242 0.00000  0.44939 0.00000
  10  0.44335 0.00000  0.44913 0.00000
  11  0.44513 0.00000  0.44889 0.00000
  12  0.45294 0.00000  0.44878 0.00000
  13  0.44678 0.00000  0.44854 0.00000
  14  0.45458 0.00000  0.44838 0.00000
  15  0.44710 0.00000  0.44821 0.00000
  16  0.44643 0.00000  0.44810 0.00000
  17  0.44221 0.00000  0.44791 0.00000
  18  0.43771 0.00000  0.44775 0.00000
  19  0.44611 0.00000  0.44758 0.00000
  20  0.43988 0.00000  0.44743 0.00000
  21  0.44588 0.00000  0.44733 0.00000
  22  0.44667 0.00000  0.44718 0.00000
  23  0.44878 0.00000  0.44712 0.00000
  24  0.45027 0.00000  0.44698 0.00000
  25  0.44551 0.00000  0.44688 0.00000
  26  0.44264 0.00000  0.44676 0.00000
  27  0.43923 0.00000  0.44664 0.00000
  28  0.44325 0.00000  0.44654 0.00000
  29  0.44890 0.00000  0.44645 0.00000
  30  0.44232 0.00000  0.44639 0.00000
  31  0.44841 0.00000  0.44629 0.00000
  32  0.45185 0.00000  0.44617 0.00000
  33  0.43998 0.00000  0.44605 0.00000
  34  0.44060 0.00000  0.44595 0.00000
  35  0.44287 0.00000  0.44594 0.00000
  36  0.45044 0.00000  0.44590 0.00000
  37  0.44391 0.00000  0.44580 0.00000
  38  0.43961 0.00000  0.44570 0.00000
  39  0.44517 0.00000  0.44567 0.00000
  40  0.44171 0.00000  0.44555 0.00000
  41  0.44392 0.00000  0.44543 0.00000
  42  0.44496 0.00000  0.44535 0.00000
  43  0.44376 0.00000  0.44535 0.00000
  44  0.44311 0.00000  0.44527 0.00000
  45  0.43908 0.00000  0.44525 0.00000
  46  0.43736 0.00000  0.44512 0.00000
  47  0.44127 0.00000  0.44507 0.00000
  48  0.43578 0.00000  0.44499 0.00000
  49  0.44570 0.00000  0.44499 0.00000
  50  0.43949 0.00000  0.44489 0.00000
  51  0.44312 0.00000  0.44486 0.00000
  52  0.44335 0.00000  0.44490 0.00000
  53  0.43934 0.00000  0.44488 0.00000
  54  0.44172 0.00000  0.44483 0.00000
  55  0.43990 0.00000  0.44480 0.00000
