loading data...Twoway_Layer::random_fill(): limit = 0.141421 ni = 50 no = 50
Twoway_Layer::random_fill(): limit = 0.141421 ni = 50 no = 1
iter  ---- train ----  ---- test -----
         rmse     auc     rmse     auc
   0  0.98071 0.00000  0.95933 0.32918
   1  0.95971 0.00000  0.95488 0.32693
   2  0.96237 0.00000  0.95435 0.32638
   3  0.95832 0.00000  0.95356 0.32589
   4  0.96166 0.00000  0.95363 0.32565
   5  0.96309 0.00000  0.95336 0.32543
   6  0.96040 0.00000  0.95341 0.32516
   7  0.96252 0.00000  0.95314 0.32502
   8  0.95746 0.00000  0.95286 0.32480
   9  0.96152 0.00000  0.95266 0.32469
  10  0.95989 0.00000  0.95284 0.32455
  11  0.95989 0.00000  0.95249 0.32445
  12  0.95547 0.00000  0.95220 0.32436
  13  0.95927 0.00000  0.95221 0.32425
  14  0.95860 0.00000  0.95246 0.32420
  15  0.95496 0.00000  0.95212 0.32414
  16  0.95967 0.00000  0.95256 0.32408
  17  0.96183 0.00000  0.95263 0.32403
  18  0.95482 0.00000  0.95220 0.32400
  19  0.95744 0.00000  0.95243 0.32396
  20  0.96397 0.00000  0.95261 0.32393
  21  0.95730 0.00000  0.95274 0.32389
  22  0.95771 0.00000  0.95242 0.32387
  23  0.95538 0.00000  0.95249 0.32387
  24  0.96023 0.00000  0.95248 0.32385
  25  0.95948 0.00000  0.95259 0.32383
  26  0.95574 0.00000  0.95255 0.32380
  27  0.95710 0.00000  0.95258 0.32377
  28  0.95379 0.00000  0.95227 0.32375
  29  0.95938 0.00000  0.95249 0.32375
  30  0.95760 0.00000  0.95263 0.32374
  31  0.95882 0.00000  0.95310 0.32372
  32  0.95889 0.00000  0.95280 0.32371
  33  0.95786 0.00000  0.95286 0.32370
  34  0.95627 0.00000  0.95279 0.32368
  35  0.95487 0.00000  0.95276 0.32367
  36  0.95714 0.00000  0.95284 0.32366
  37  0.95499 0.00000  0.95270 0.32366
  38  0.95461 0.00000  0.95265 0.32364
  39  0.95642 0.00000  0.95282 0.32364
  40  0.95929 0.00000  0.95295 0.32363
  41  0.95852 0.00000  0.95314 0.32363
  42  0.95611 0.00000  0.95310 0.32362
  43  0.96413 0.00000  0.95358 0.32361
