loading data...Twoway_Layer::random_fill(): limit = 0.141421 ni = 50 no = 50
Twoway_Layer::random_fill(): limit = 0.141421 ni = 50 no = 1
iter  ---- train ----  ---- test -----
         rmse     auc     rmse     auc
   0  0.79090 0.00000  0.64166 0.06427
   1  0.64145 0.00000  0.62259 0.06376
   2  0.62901 0.00000  0.61903 0.06350
   3  0.62617 0.00000  0.61797 0.06329
   4  0.62314 0.00000  0.61683 0.06312
   5  0.62600 0.00000  0.61631 0.06298
   6  0.62858 0.00000  0.61607 0.06288
   7  0.61780 0.00000  0.61540 0.06278
   8  0.62666 0.00000  0.61525 0.06268
   9  0.62225 0.00000  0.61495 0.06262
  10  0.61968 0.00000  0.61477 0.06258
  11  0.62478 0.00000  0.61460 0.06254
  12  0.62272 0.00000  0.61462 0.06250
  13  0.62585 0.00000  0.61463 0.06247
  14  0.62035 0.00000  0.61417 0.06245
  15  0.62143 0.00000  0.61416 0.06242
  16  0.62159 0.00000  0.61419 0.06241
  17  0.62377 0.00000  0.61409 0.06240
  18  0.62143 0.00000  0.61414 0.06241
  19  0.62988 0.00000  0.61417 0.06240
  20  0.62680 0.00000  0.61422 0.06239
  21  0.62645 0.00000  0.61429 0.06239
  22  0.62385 0.00000  0.61422 0.06240
  23  0.62620 0.00000  0.61431 0.06240
  24  0.62829 0.00000  0.61443 0.06240
  25  0.62393 0.00000  0.61435 0.06241
  26  0.62450 0.00000  0.61434 0.06241
  27  0.62309 0.00000  0.61426 0.06242
  28  0.62926 0.00000  0.61445 0.06242
  29  0.61821 0.00000  0.61424 0.06242
  30  0.62193 0.00000  0.61436 0.06243
  31  0.62302 0.00000  0.61442 0.06244
  32  0.62597 0.00000  0.61438 0.06245
  33  0.61929 0.00000  0.61445 0.06246
  34  0.62723 0.00000  0.61447 0.06247
  35  0.62447 0.00000  0.61452 0.06248
  36  0.62134 0.00000  0.61434 0.06249
  37  0.62336 0.00000  0.61458 0.06250
  38  0.62279 0.00000  0.61460 0.06251
  39  0.62357 0.00000  0.61454 0.06252
  40  0.62813 0.00000  0.61485 0.06252
  41  0.62365 0.00000  0.61486 0.06253
  42  0.62282 0.00000  0.61495 0.06254
  43  0.62437 0.00000  0.61505 0.06255
  44  0.62107 0.00000  0.61493 0.06256
  45  0.62734 0.00000  0.61519 0.06257
  46  0.62212 0.00000  0.61483 0.06258
  47  0.62308 0.00000  0.61496 0.06259
  48  0.61956 0.00000  0.61490 0.06260
  49  0.62080 0.00000  0.61500 0.06260
  50  0.62396 0.00000  0.61511 0.06260
