loading data...Twoway_Layer::random_fill(): limit = 0.103695 ni = 93 no = 50
Twoway_Layer::random_fill(): limit = 0.141421 ni = 50 no = 1
iter  ---- train ----  ---- test -----
         rmse     auc     rmse     auc
   0  0.92127 0.00000  0.88678 0.20424
   1  0.85823 0.00000  0.85760 0.18778
   2  0.86198 0.00000  0.84733 0.18420
   3  0.83259 0.00000  0.84108 0.18225
   4  0.83807 0.00000  0.83797 0.18120
   5  0.82213 0.00000  0.83543 0.18031
   6  0.81739 0.00000  0.83408 0.17979
   7  0.80006 0.00000  0.83301 0.17931
   8  0.81223 0.00000  0.83252 0.17902
   9  0.81169 0.00000  0.83220 0.17870
  10  0.81225 0.00000  0.83193 0.17843
  11  0.79759 0.00000  0.83172 0.17819
  12  0.81219 0.00000  0.83045 0.17777
  13  0.81214 0.00000  0.82989 0.17750
  14  0.82367 0.00000  0.82937 0.17723
  15  0.81098 0.00000  0.82929 0.17713
  16  0.81390 0.00000  0.82893 0.17692
  17  0.79278 0.00000  0.82864 0.17671
  18  0.82414 0.00000  0.82826 0.17652
  19  0.81490 0.00000  0.82784 0.17631
  20  0.79696 0.00000  0.82776 0.17620
  21  0.82240 0.00000  0.82761 0.17607
  22  0.83270 0.00000  0.82742 0.17599
  23  0.80436 0.00000  0.82731 0.17591
  24  0.80980 0.00000  0.82722 0.17580
  25  0.79777 0.00000  0.82710 0.17573
  26  0.81860 0.00000  0.82693 0.17562
  27  0.81575 0.00000  0.82666 0.17550
  28  0.80636 0.00000  0.82696 0.17542
  29  0.83246 0.00000  0.82634 0.17527
  30  0.80055 0.00000  0.82618 0.17525
  31  0.79609 0.00000  0.82619 0.17522
  32  0.81716 0.00000  0.82598 0.17512
  33  0.81499 0.00000  0.82603 0.17511
  34  0.82618 0.00000  0.82586 0.17504
  35  0.82624 0.00000  0.82581 0.17498
  36  0.79485 0.00000  0.82611 0.17498
  37  0.81161 0.00000  0.82590 0.17493
  38  0.79422 0.00000  0.82577 0.17494
  39  0.82425 0.00000  0.82563 0.17489
  40  0.81898 0.00000  0.82562 0.17487
  41  0.82562 0.00000  0.82545 0.17481
  42  0.81976 0.00000  0.82548 0.17477
  43  0.81752 0.00000  0.82563 0.17474
  44  0.81104 0.00000  0.82574 0.17471
  45  0.81494 0.00000  0.82658 0.17467
  46  0.81709 0.00000  0.82608 0.17463
  47  0.80777 0.00000  0.82547 0.17461
  48  0.80326 0.00000  0.82598 0.17462
  49  0.82849 0.00000  0.82572 0.17458
  50  0.80264 0.00000  0.82576 0.17458
  51  0.82270 0.00000  0.82514 0.17454
  52  0.80717 0.00000  0.82525 0.17452
  53  0.81897 0.00000  0.82503 0.17452
  54  0.81614 0.00000  0.82510 0.17449
  55  0.81081 0.00000  0.82504 0.17451
  56  0.80627 0.00000  0.82519 0.17449
  57  0.80067 0.00000  0.82501 0.17449
  58  0.81606 0.00000  0.82491 0.17449
  59  0.81601 0.00000  0.82507 0.17447
  60  0.81137 0.00000  0.82502 0.17449
  61  0.82128 0.00000  0.82491 0.17448
  62  0.79859 0.00000  0.82513 0.17447
  63  0.81229 0.00000  0.82491 0.17449
  64  0.81389 0.00000  0.82495 0.17447
  65  0.81843 0.00000  0.82499 0.17444
  66  0.81011 0.00000  0.82526 0.17444
  67  0.81081 0.00000  0.82556 0.17443
  68  0.80624 0.00000  0.82563 0.17445
  69  0.82111 0.00000  0.82572 0.17441
  70  0.81498 0.00000  0.82595 0.17439
  71  0.82152 0.00000  0.82549 0.17440
  72  0.81656 0.00000  0.82507 0.17438
  73  0.81977 0.00000  0.82525 0.17434
  74  0.80342 0.00000  0.82484 0.17437
  75  0.83239 0.00000  0.82537 0.17433
  76  0.81188 0.00000  0.82537 0.17432
  77  0.81882 0.00000  0.82511 0.17433
  78  0.80175 0.00000  0.82524 0.17434
  79  0.82375 0.00000  0.82568 0.17431
  80  0.80827 0.00000  0.82508 0.17436
  81  0.80305 0.00000  0.82496 0.17439
  82  0.80704 0.00000  0.82523 0.17439
  83  0.81269 0.00000  0.82505 0.17439
  84  0.82060 0.00000  0.82507 0.17439
  85  0.80601 0.00000  0.82519 0.17438
  86  0.81207 0.00000  0.82504 0.17439
  87  0.79559 0.00000  0.82517 0.17440
  88  0.80706 0.00000  0.82516 0.17440
  89  0.80439 0.00000  0.82578 0.17439
  90  0.80862 0.00000  0.82506 0.17444
  91  0.79841 0.00000  0.82496 0.17446
  92  0.81459 0.00000  0.82483 0.17445
  93  0.82034 0.00000  0.82472 0.17446
  94  0.81690 0.00000  0.82487 0.17445
  95  0.80701 0.00000  0.82472 0.17447
  96  0.79720 0.00000  0.82482 0.17448
  97  0.81937 0.00000  0.82479 0.17446
  98  0.80275 0.00000  0.82473 0.17448
  99  0.81874 0.00000  0.82481 0.17447
 100  0.80221 0.00000  0.82483 0.17449
 101  0.81277 0.00000  0.82483 0.17449
 102  0.80187 0.00000  0.82471 0.17453
 103  0.81364 0.00000  0.82481 0.17451
 104  0.79249 0.00000  0.82475 0.17453
 105  0.80097 0.00000  0.82472 0.17454
 106  0.81726 0.00000  0.82472 0.17453
 107  0.79951 0.00000  0.82491 0.17452
 108  0.81165 0.00000  0.82481 0.17453
 109  0.81075 0.00000  0.82504 0.17451
 110  0.80481 0.00000  0.82489 0.17453
 111  0.80444 0.00000  0.82471 0.17457
 112  0.81762 0.00000  0.82516 0.17450
 113  0.81976 0.00000  0.82499 0.17452
 114  0.81804 0.00000  0.82507 0.17450
 115  0.81148 0.00000  0.82509 0.17451
 116  0.80860 0.00000  0.82516 0.17451
 117  0.80399 0.00000  0.82501 0.17454
 118  0.82846 0.00000  0.82494 0.17453
 119  0.82041 0.00000  0.82475 0.17457
 120  0.81063 0.00000  0.82484 0.17456
 121  0.81250 0.00000  0.82481 0.17458
 122  0.80355 0.00000  0.82487 0.17458
 123  0.80758 0.00000  0.82485 0.17459
 124  0.81578 0.00000  0.82482 0.17460
 125  0.80373 0.00000  0.82527 0.17455
 126  0.81625 0.00000  0.82498 0.17458
 127  0.80936 0.00000  0.82483 0.17461
 128  0.81384 0.00000  0.82505 0.17461
 129  0.81087 0.00000  0.82507 0.17462
 130  0.80437 0.00000  0.82499 0.17462
 131  0.79858 0.00000  0.82486 0.17464
 132  0.81319 0.00000  0.82509 0.17462
 133  0.81181 0.00000  0.82530 0.17460
 134  0.79834 0.00000  0.82492 0.17463
 135  0.81224 0.00000  0.82488 0.17464
 136  0.81226 0.00000  0.82478 0.17467
 137  0.82718 0.00000  0.82481 0.17467
 138  0.82305 0.00000  0.82485 0.17466
 139  0.81918 0.00000  0.82484 0.17466
 140  0.81117 0.00000  0.82494 0.17465
 141  0.81159 0.00000  0.82511 0.17463
 142  0.79819 0.00000  0.82483 0.17467
 143  0.81770 0.00000  0.82496 0.17465
 144  0.80814 0.00000  0.82505 0.17465
 145  0.82664 0.00000  0.82500 0.17465
 146  0.79852 0.00000  0.82484 0.17472
 147  0.81998 0.00000  0.82496 0.17468
 148  0.80503 0.00000  0.82504 0.17467
 149  0.82732 0.00000  0.82495 0.17469
 150  0.79848 0.00000  0.82505 0.17467
 151  0.81230 0.00000  0.82503 0.17468
 152  0.82817 0.00000  0.82529 0.17465
 153  0.81891 0.00000  0.82538 0.17464
 154  0.80834 0.00000  0.82577 0.17463
 155  0.80078 0.00000  0.82572 0.17463
 156  0.80761 0.00000  0.82544 0.17465
 157  0.81736 0.00000  0.82519 0.17467
 158  0.81349 0.00000  0.82508 0.17470
 159  0.81702 0.00000  0.82511 0.17470
 160  0.82295 0.00000  0.82499 0.17473
 161  0.82412 0.00000  0.82499 0.17474
 162  0.82930 0.00000  0.82503 0.17475
 163  0.81022 0.00000  0.82499 0.17475
 164  0.81300 0.00000  0.82495 0.17478
 165  0.80533 0.00000  0.82491 0.17480
 166  0.80485 0.00000  0.82489 0.17480
 167  0.82400 0.00000  0.82494 0.17480
 168  0.80599 0.00000  0.82492 0.17479
 169  0.80590 0.00000  0.82488 0.17483
 170  0.79296 0.00000  0.82488 0.17481
 171  0.81974 0.00000  0.82503 0.17478
 172  0.80819 0.00000  0.82522 0.17476
 173  0.80449 0.00000  0.82503 0.17479
 174  0.80076 0.00000  0.82487 0.17482
 175  0.80802 0.00000  0.82511 0.17479
 176  0.81880 0.00000  0.82503 0.17480
 177  0.80219 0.00000  0.82512 0.17480
 178  0.79116 0.00000  0.82507 0.17481
 179  0.81233 0.00000  0.82522 0.17480
 180  0.80522 0.00000  0.82565 0.17478
 181  0.79905 0.00000  0.82534 0.17480
 182  0.80187 0.00000  0.82522 0.17481
 183  0.81694 0.00000  0.82518 0.17481
 184  0.81900 0.00000  0.82515 0.17482
 185  0.81682 0.00000  0.82499 0.17484
 186  0.81941 0.00000  0.82512 0.17483
 187  0.80833 0.00000  0.82507 0.17484
 188  0.80181 0.00000  0.82517 0.17483
 189  0.81544 0.00000  0.82501 0.17485
 190  0.81339 0.00000  0.82492 0.17488
 191  0.81744 0.00000  0.82494 0.17489
 192  0.81540 0.00000  0.82499 0.17487
 193  0.81526 0.00000  0.82497 0.17488
 194  0.79944 0.00000  0.82513 0.17485
 195  0.79988 0.00000  0.82519 0.17484
 196  0.81209 0.00000  0.82514 0.17485
 197  0.81535 0.00000  0.82538 0.17484
 198  0.82043 0.00000  0.82541 0.17483
 199  0.81160 0.00000  0.82542 0.17483
 200  0.80710 0.00000  0.82499 0.17489
 201  0.81424 0.00000  0.82510 0.17487
 202  0.80338 0.00000  0.82509 0.17488
 203  0.80914 0.00000  0.82513 0.17487
 204  0.79880 0.00000  0.82496 0.17490
 205  0.81213 0.00000  0.82502 0.17489
 206  0.81224 0.00000  0.82514 0.17488
 207  0.83419 0.00000  0.82514 0.17488
 208  0.81901 0.00000  0.82507 0.17488
 209  0.80702 0.00000  0.82503 0.17489
 210  0.81134 0.00000  0.82502 0.17489
 211  0.80609 0.00000  0.82545 0.17485
 212  0.82211 0.00000  0.82503 0.17489
 213  0.81127 0.00000  0.82498 0.17491
 214  0.80059 0.00000  0.82495 0.17491
 215  0.80035 0.00000  0.82496 0.17490
 216  0.81434 0.00000  0.82492 0.17492
 217  0.82051 0.00000  0.82525 0.17487
 218  0.80001 0.00000  0.82550 0.17486
 219  0.80236 0.00000  0.82544 0.17486
 220  0.80720 0.00000  0.82530 0.17487
 221  0.81634 0.00000  0.82551 0.17486
 222  0.81522 0.00000  0.82499 0.17490
 223  0.82427 0.00000  0.82506 0.17490
 224  0.80509 0.00000  0.82499 0.17491
 225  0.81560 0.00000  0.82509 0.17489
 226  0.79527 0.00000  0.82504 0.17490
 227  0.82356 0.00000  0.82529 0.17487
 228  0.80317 0.00000  0.82513 0.17489
 229  0.79948 0.00000  0.82520 0.17489
 230  0.82425 0.00000  0.82547 0.17487
 231  0.81094 0.00000  0.82508 0.17490
 232  0.80290 0.00000  0.82515 0.17489
 233  0.81959 0.00000  0.82496 0.17493
 234  0.82501 0.00000  0.82516 0.17489
 235  0.81104 0.00000  0.82525 0.17489
 236  0.80526 0.00000  0.82505 0.17491
 237  0.81863 0.00000  0.82527 0.17489
 238  0.79800 0.00000  0.82516 0.17490
 239  0.81029 0.00000  0.82529 0.17488
 240  0.82334 0.00000  0.82524 0.17489
 241  0.80544 0.00000  0.82510 0.17491
 242  0.81711 0.00000  0.82530 0.17489
 243  0.80361 0.00000  0.82526 0.17489
 244  0.80327 0.00000  0.82517 0.17490
 245  0.81646 0.00000  0.82510 0.17491
 246  0.80921 0.00000  0.82531 0.17488
 247  0.81428 0.00000  0.82550 0.17487
 248  0.81621 0.00000  0.82519 0.17490
 249  0.79365 0.00000  0.82514 0.17490
 250  0.80046 0.00000  0.82515 0.17491
 251  0.82452 0.00000  0.82493 0.17496
 252  0.82054 0.00000  0.82504 0.17492
 253  0.80958 0.00000  0.82495 0.17495
 254  0.80298 0.00000  0.82499 0.17492
 255  0.79563 0.00000  0.82519 0.17490
 256  0.81118 0.00000  0.82530 0.17489
 257  0.80550 0.00000  0.82495 0.17493
 258  0.81114 0.00000  0.82498 0.17492
 259  0.80216 0.00000  0.82494 0.17493
 260  0.81395 0.00000  0.82495 0.17493
 261  0.82319 0.00000  0.82501 0.17493
 262  0.80711 0.00000  0.82580 0.17486
 263  0.79760 0.00000  0.82557 0.17487
 264  0.79799 0.00000  0.82535 0.17489
 265  0.80446 0.00000  0.82499 0.17493
 266  0.80609 0.00000  0.82491 0.17494
 267  0.81014 0.00000  0.82492 0.17495
 268  0.81908 0.00000  0.82516 0.17491
 269  0.82240 0.00000  0.82550 0.17488
