loading data...Twoway_Layer::random_fill(): limit = 0.103695 ni = 93 no = 50
Twoway_Layer::random_fill(): limit = 0.141421 ni = 50 no = 1
iter  ---- train ----  ---- test -----
         rmse     auc     rmse     auc
   0  1.00633 0.00000  0.99346 0.42810
   1  0.98668 0.00000  0.97769 0.34407
   2  0.97696 0.00000  0.96839 0.33209
   3  0.96877 0.00000  0.96220 0.32789
   4  0.96324 0.00000  0.95828 0.32572
   5  0.95838 0.00000  0.95552 0.32448
   6  0.95680 0.00000  0.95372 0.32376
   7  0.95751 0.00000  0.95254 0.32330
   8  0.95630 0.00000  0.95178 0.32278
   9  0.95910 0.00000  0.95130 0.32241
  10  0.95296 0.00000  0.95069 0.32201
  11  0.95533 0.00000  0.95032 0.32172
  12  0.95342 0.00000  0.95001 0.32154
  13  0.95412 0.00000  0.94970 0.32111
  14  0.95536 0.00000  0.94958 0.32098
  15  0.95450 0.00000  0.94934 0.32058
  16  0.95134 0.00000  0.94909 0.32040
  17  0.95300 0.00000  0.94896 0.32021
  18  0.95060 0.00000  0.94883 0.32005
  19  0.95489 0.00000  0.94874 0.31978
  20  0.94917 0.00000  0.94859 0.31968
  21  0.95366 0.00000  0.94854 0.31952
  22  0.95256 0.00000  0.94842 0.31929
  23  0.95037 0.00000  0.94830 0.31913
  24  0.95242 0.00000  0.94818 0.31886
  25  0.95423 0.00000  0.94813 0.31866
  26  0.95211 0.00000  0.94805 0.31848
  27  0.95249 0.00000  0.94805 0.31843
  28  0.95190 0.00000  0.94790 0.31816
  29  0.95296 0.00000  0.94786 0.31801
  30  0.95814 0.00000  0.94792 0.31779
  31  0.94934 0.00000  0.94778 0.31774
  32  0.95095 0.00000  0.94773 0.31760
  33  0.95434 0.00000  0.94770 0.31743
  34  0.95348 0.00000  0.94770 0.31726
  35  0.94941 0.00000  0.94761 0.31720
  36  0.94760 0.00000  0.94750 0.31710
  37  0.94941 0.00000  0.94750 0.31708
  38  0.95116 0.00000  0.94736 0.31686
  39  0.94854 0.00000  0.94728 0.31674
  40  0.95112 0.00000  0.94729 0.31673
  41  0.95077 0.00000  0.94722 0.31656
  42  0.94756 0.00000  0.94715 0.31643
  43  0.95152 0.00000  0.94714 0.31628
  44  0.94882 0.00000  0.94710 0.31625
  45  0.95366 0.00000  0.94714 0.31615
  46  0.94872 0.00000  0.94715 0.31611
  47  0.94977 0.00000  0.94711 0.31603
  48  0.95306 0.00000  0.94714 0.31597
  49  0.94744 0.00000  0.94703 0.31588
  50  0.95592 0.00000  0.94715 0.31581
  51  0.94951 0.00000  0.94716 0.31576
  52  0.95493 0.00000  0.94709 0.31559
  53  0.95007 0.00000  0.94703 0.31546
  54  0.95367 0.00000  0.94705 0.31537
  55  0.95170 0.00000  0.94712 0.31541
  56  0.94716 0.00000  0.94700 0.31532
  57  0.95076 0.00000  0.94699 0.31527
  58  0.94870 0.00000  0.94691 0.31519
  59  0.94829 0.00000  0.94685 0.31513
  60  0.94588 0.00000  0.94679 0.31509
  61  0.95117 0.00000  0.94680 0.31503
  62  0.94762 0.00000  0.94676 0.31500
  63  0.94876 0.00000  0.94676 0.31491
  64  0.94995 0.00000  0.94678 0.31486
  65  0.95106 0.00000  0.94676 0.31484
  66  0.95078 0.00000  0.94675 0.31480
  67  0.95286 0.00000  0.94679 0.31472
  68  0.95214 0.00000  0.94679 0.31465
  69  0.95045 0.00000  0.94679 0.31461
  70  0.94799 0.00000  0.94677 0.31462
  71  0.95181 0.00000  0.94678 0.31457
  72  0.94796 0.00000  0.94673 0.31456
  73  0.95185 0.00000  0.94675 0.31449
  74  0.94945 0.00000  0.94675 0.31448
  75  0.95521 0.00000  0.94680 0.31438
  76  0.95234 0.00000  0.94683 0.31436
  77  0.94983 0.00000  0.94686 0.31436
  78  0.94703 0.00000  0.94682 0.31436
  79  0.95213 0.00000  0.94688 0.31433
  80  0.94665 0.00000  0.94676 0.31427
  81  0.95353 0.00000  0.94681 0.31420
  82  0.95130 0.00000  0.94683 0.31417
  83  0.94768 0.00000  0.94679 0.31415
  84  0.94656 0.00000  0.94675 0.31415
  85  0.95068 0.00000  0.94677 0.31415
  86  0.94656 0.00000  0.94675 0.31411
  87  0.94928 0.00000  0.94674 0.31408
  88  0.95047 0.00000  0.94676 0.31407
  89  0.94854 0.00000  0.94676 0.31405
  90  0.94668 0.00000  0.94672 0.31405
  91  0.95284 0.00000  0.94676 0.31401
  92  0.95009 0.00000  0.94677 0.31397
  93  0.95078 0.00000  0.94680 0.31393
  94  0.95124 0.00000  0.94681 0.31391
  95  0.94787 0.00000  0.94679 0.31392
  96  0.95151 0.00000  0.94680 0.31390
  97  0.95126 0.00000  0.94685 0.31391
  98  0.95115 0.00000  0.94684 0.31388
  99  0.94914 0.00000  0.94684 0.31388
 100  0.95368 0.00000  0.94689 0.31384
 101  0.94277 0.00000  0.94684 0.31388
 102  0.95137 0.00000  0.94681 0.31383
 103  0.95044 0.00000  0.94685 0.31381
 104  0.94978 0.00000  0.94688 0.31380
 105  0.94935 0.00000  0.94687 0.31377
 106  0.94620 0.00000  0.94680 0.31376
 107  0.94640 0.00000  0.94675 0.31374
 108  0.94573 0.00000  0.94671 0.31370
 109  0.94903 0.00000  0.94672 0.31372
 110  0.95411 0.00000  0.94677 0.31369
 111  0.94790 0.00000  0.94676 0.31370
 112  0.95290 0.00000  0.94682 0.31369
 113  0.95048 0.00000  0.94682 0.31368
 114  0.94973 0.00000  0.94684 0.31368
 115  0.94927 0.00000  0.94683 0.31365
 116  0.94368 0.00000  0.94677 0.31365
 117  0.95070 0.00000  0.94680 0.31366
 118  0.94774 0.00000  0.94679 0.31366
 119  0.95198 0.00000  0.94684 0.31364
 120  0.94806 0.00000  0.94687 0.31364
 121  0.95194 0.00000  0.94691 0.31363
 122  0.94660 0.00000  0.94686 0.31363
 123  0.94300 0.00000  0.94681 0.31364
 124  0.94662 0.00000  0.94679 0.31365
 125  0.94639 0.00000  0.94685 0.31367
 126  0.94849 0.00000  0.94685 0.31366
 127  0.95073 0.00000  0.94680 0.31363
 128  0.94980 0.00000  0.94681 0.31363
 129  0.94865 0.00000  0.94681 0.31361
 130  0.95295 0.00000  0.94686 0.31357
 131  0.94799 0.00000  0.94684 0.31356
 132  0.95218 0.00000  0.94689 0.31355
 133  0.94919 0.00000  0.94690 0.31354
 134  0.94834 0.00000  0.94691 0.31353
 135  0.95052 0.00000  0.94692 0.31354
 136  0.95133 0.00000  0.94696 0.31353
 137  0.94852 0.00000  0.94696 0.31352
 138  0.94872 0.00000  0.94695 0.31353
 139  0.94361 0.00000  0.94689 0.31355
 140  0.95292 0.00000  0.94693 0.31353
 141  0.94710 0.00000  0.94695 0.31354
