loading data...Twoway_Layer::random_fill(): limit = 0.103695 ni = 93 no = 50
Twoway_Layer::random_fill(): limit = 0.141421 ni = 50 no = 1
iter  ---- train ----  ---- test -----
         rmse     auc     rmse     auc
   0  0.87399 0.00000  0.78093 0.06393
   1  0.74843 0.00000  0.70368 0.06158
   2  0.69476 0.00000  0.66722 0.06102
   3  0.66885 0.00000  0.64741 0.06077
   4  0.65226 0.00000  0.63577 0.06063
   5  0.64136 0.00000  0.62853 0.06055
   6  0.63619 0.00000  0.62372 0.06048
   7  0.63673 0.00000  0.62076 0.06044
   8  0.62993 0.00000  0.61843 0.06039
   9  0.62669 0.00000  0.61671 0.06036
  10  0.62461 0.00000  0.61546 0.06033
  11  0.62686 0.00000  0.61457 0.06029
  12  0.62666 0.00000  0.61388 0.06024
  13  0.62854 0.00000  0.61336 0.06022
  14  0.62409 0.00000  0.61295 0.06018
  15  0.62613 0.00000  0.61268 0.06015
  16  0.62542 0.00000  0.61229 0.06013
  17  0.62282 0.00000  0.61210 0.06011
  18  0.61887 0.00000  0.61177 0.06009
  19  0.62415 0.00000  0.61161 0.06007
  20  0.62072 0.00000  0.61145 0.06004
  21  0.61450 0.00000  0.61123 0.06003
  22  0.62243 0.00000  0.61113 0.06001
  23  0.61925 0.00000  0.61097 0.05999
  24  0.62225 0.00000  0.61088 0.05997
  25  0.62429 0.00000  0.61080 0.05996
  26  0.62097 0.00000  0.61071 0.05994
  27  0.61978 0.00000  0.61062 0.05993
  28  0.61892 0.00000  0.61050 0.05992
  29  0.62103 0.00000  0.61042 0.05990
  30  0.61697 0.00000  0.61035 0.05989
  31  0.61915 0.00000  0.61026 0.05988
  32  0.61562 0.00000  0.61020 0.05986
  33  0.61672 0.00000  0.61009 0.05983
  34  0.62303 0.00000  0.61008 0.05981
  35  0.61773 0.00000  0.61006 0.05980
  36  0.62430 0.00000  0.61002 0.05978
  37  0.62055 0.00000  0.60999 0.05977
  38  0.61825 0.00000  0.60991 0.05976
  39  0.62095 0.00000  0.60993 0.05976
  40  0.62250 0.00000  0.60985 0.05975
  41  0.62010 0.00000  0.60984 0.05974
  42  0.62255 0.00000  0.60979 0.05973
  43  0.62079 0.00000  0.60974 0.05972
  44  0.61910 0.00000  0.60971 0.05972
  45  0.61482 0.00000  0.60963 0.05971
  46  0.61292 0.00000  0.60957 0.05970
  47  0.61819 0.00000  0.60960 0.05969
  48  0.62381 0.00000  0.60957 0.05968
  49  0.62546 0.00000  0.60956 0.05968
  50  0.62054 0.00000  0.60950 0.05967
  51  0.62007 0.00000  0.60951 0.05966
  52  0.61966 0.00000  0.60946 0.05964
  53  0.61341 0.00000  0.60939 0.05964
  54  0.62765 0.00000  0.60940 0.05964
  55  0.61619 0.00000  0.60939 0.05963
  56  0.62022 0.00000  0.60937 0.05962
  57  0.62011 0.00000  0.60931 0.05961
  58  0.61381 0.00000  0.60926 0.05960
  59  0.61682 0.00000  0.60928 0.05960
  60  0.62064 0.00000  0.60928 0.05959
  61  0.61806 0.00000  0.60923 0.05958
  62  0.61600 0.00000  0.60920 0.05957
  63  0.62059 0.00000  0.60923 0.05956
  64  0.61569 0.00000  0.60922 0.05955
  65  0.62211 0.00000  0.60922 0.05955
  66  0.61796 0.00000  0.60918 0.05955
  67  0.61609 0.00000  0.60908 0.05955
  68  0.61959 0.00000  0.60907 0.05954
  69  0.62229 0.00000  0.60907 0.05954
  70  0.61528 0.00000  0.60901 0.05954
  71  0.62072 0.00000  0.60901 0.05954
  72  0.61790 0.00000  0.60901 0.05953
  73  0.61888 0.00000  0.60900 0.05952
  74  0.61762 0.00000  0.60902 0.05951
  75  0.62426 0.00000  0.60904 0.05950
  76  0.61716 0.00000  0.60894 0.05949
  77  0.61682 0.00000  0.60896 0.05948
  78  0.61639 0.00000  0.60892 0.05948
  79  0.61761 0.00000  0.60896 0.05948
  80  0.62088 0.00000  0.60896 0.05947
  81  0.62072 0.00000  0.60893 0.05946
  82  0.61978 0.00000  0.60892 0.05946
  83  0.61744 0.00000  0.60891 0.05945
  84  0.61763 0.00000  0.60886 0.05945
  85  0.62031 0.00000  0.60885 0.05945
  86  0.62164 0.00000  0.60887 0.05944
  87  0.61799 0.00000  0.60888 0.05944
  88  0.61263 0.00000  0.60882 0.05944
  89  0.62080 0.00000  0.60886 0.05943
  90  0.61415 0.00000  0.60881 0.05942
  91  0.62141 0.00000  0.60885 0.05942
  92  0.61455 0.00000  0.60881 0.05941
  93  0.62296 0.00000  0.60882 0.05940
  94  0.61624 0.00000  0.60881 0.05940
  95  0.62067 0.00000  0.60884 0.05940
  96  0.61607 0.00000  0.60885 0.05939
  97  0.61977 0.00000  0.60891 0.05939
  98  0.62042 0.00000  0.60888 0.05939
  99  0.61101 0.00000  0.60878 0.05939
 100  0.61857 0.00000  0.60879 0.05939
 101  0.61982 0.00000  0.60880 0.05938
 102  0.61897 0.00000  0.60880 0.05938
 103  0.62010 0.00000  0.60880 0.05938
 104  0.61862 0.00000  0.60879 0.05937
 105  0.61632 0.00000  0.60878 0.05937
 106  0.61347 0.00000  0.60874 0.05938
 107  0.61365 0.00000  0.60872 0.05937
 108  0.61733 0.00000  0.60871 0.05936
 109  0.62022 0.00000  0.60875 0.05936
 110  0.61941 0.00000  0.60878 0.05935
 111  0.61923 0.00000  0.60880 0.05935
 112  0.62134 0.00000  0.60883 0.05935
 113  0.62055 0.00000  0.60882 0.05934
 114  0.61925 0.00000  0.60878 0.05934
 115  0.61786 0.00000  0.60875 0.05934
 116  0.60597 0.00000  0.60868 0.05934
 117  0.61842 0.00000  0.60869 0.05934
 118  0.61741 0.00000  0.60867 0.05933
 119  0.61923 0.00000  0.60871 0.05932
 120  0.61230 0.00000  0.60865 0.05932
 121  0.62129 0.00000  0.60869 0.05932
 122  0.62048 0.00000  0.60871 0.05931
 123  0.61722 0.00000  0.60868 0.05931
 124  0.61757 0.00000  0.60866 0.05931
 125  0.61634 0.00000  0.60864 0.05931
 126  0.61637 0.00000  0.60865 0.05930
 127  0.61140 0.00000  0.60865 0.05930
 128  0.61952 0.00000  0.60863 0.05929
 129  0.61880 0.00000  0.60867 0.05929
 130  0.61159 0.00000  0.60864 0.05928
 131  0.62156 0.00000  0.60867 0.05927
 132  0.61718 0.00000  0.60868 0.05927
 133  0.62304 0.00000  0.60870 0.05926
 134  0.61325 0.00000  0.60866 0.05926
 135  0.62197 0.00000  0.60869 0.05926
 136  0.62136 0.00000  0.60871 0.05926
 137  0.61381 0.00000  0.60863 0.05925
 138  0.61981 0.00000  0.60865 0.05925
 139  0.61982 0.00000  0.60864 0.05925
 140  0.61969 0.00000  0.60865 0.05924
 141  0.61618 0.00000  0.60864 0.05924
 142  0.61582 0.00000  0.60859 0.05923
 143  0.62348 0.00000  0.60864 0.05923
 144  0.61578 0.00000  0.60864 0.05923
 145  0.61507 0.00000  0.60864 0.05922
 146  0.61596 0.00000  0.60864 0.05921
 147  0.62235 0.00000  0.60868 0.05921
 148  0.62009 0.00000  0.60872 0.05921
 149  0.61919 0.00000  0.60873 0.05920
 150  0.61211 0.00000  0.60866 0.05920
 151  0.61656 0.00000  0.60869 0.05919
 152  0.61747 0.00000  0.60865 0.05918
 153  0.61232 0.00000  0.60862 0.05918
 154  0.61868 0.00000  0.60862 0.05918
 155  0.61474 0.00000  0.60860 0.05918
 156  0.61389 0.00000  0.60860 0.05917
 157  0.61105 0.00000  0.60856 0.05917
 158  0.62070 0.00000  0.60860 0.05917
 159  0.62084 0.00000  0.60863 0.05917
 160  0.62014 0.00000  0.60867 0.05917
 161  0.61490 0.00000  0.60866 0.05916
 162  0.61318 0.00000  0.60863 0.05916
 163  0.62357 0.00000  0.60869 0.05916
 164  0.61998 0.00000  0.60868 0.05916
 165  0.61956 0.00000  0.60871 0.05916
 166  0.62032 0.00000  0.60873 0.05916
 167  0.61716 0.00000  0.60875 0.05916
 168  0.62020 0.00000  0.60874 0.05916
 169  0.62099 0.00000  0.60873 0.05915
 170  0.61800 0.00000  0.60873 0.05915
 171  0.61600 0.00000  0.60871 0.05914
 172  0.61966 0.00000  0.60873 0.05914
 173  0.61768 0.00000  0.60873 0.05914
 174  0.61595 0.00000  0.60867 0.05914
 175  0.61553 0.00000  0.60867 0.05913
 176  0.61760 0.00000  0.60868 0.05913
 177  0.61607 0.00000  0.60870 0.05913
 178  0.61097 0.00000  0.60864 0.05912
 179  0.62475 0.00000  0.60870 0.05911
 180  0.61906 0.00000  0.60868 0.05911
