loading data...model 64: before 0.0700761/0.283085 after 0.146332/0.216632 test: before 0.0607073/0.263019 after 0/0.20305
model 7: before 0.06852/0.277055 after 0.105648/0.232473 test: before 0.0614199/0.263349 after 0/0.216878
model 88: before 0.068651/0.270509 after 0.104123/0.228096 test: before 0.0591516/0.259401 after 0/0.221112
model 71: before 0.0680365/0.284879 after 0.115142/0.230748 test: before 0.0598703/0.269299 after 0/0.218687
model 65: before 0.0689352/0.281864 after 0.133342/0.219356 test: before 0.0616854/0.263797 after 0/0.208284
model 140: before 0.0688745/0.272334 after 0.103815/0.229719 test: before 0.0589752/0.258833 after 0/0.221229
model 123: before 0.0668508/0.280827 after 0.0914656/0.244933 test: before 0.058983/0.262571 after 0/0.223497
model 150: before 0.0678839/0.284523 after 0.145695/0.204672 test: before 0.059984/0.269408 after 0/0.199813
model 167: before 0.0683845/0.269565 after 0.0966821/0.234754 test: before 0.0591601/0.253382 after 0/0.220818
model 81: before 0.0677772/0.284557 after 0.102139/0.239211 test: before 0.0605983/0.265917 after 0/0.225367
generating blend data
bag 0 of 500
bag 1 of 500
bag 2 of 500
bag 3 of 500
bag 4 of 500
bag 5 of 500
bag 6 of 500
bag 7 of 500
bag 8 of 500
bag 9 of 500
bag 10 of 500
bag 11 of 500
bag 12 of 500
bag 13 of 500
bag 14 of 500
bag 15 of 500
bag 16 of 500bag 17 of 500

bag 18 of 500
bag 19 of 500
bag 20 of 500
bag 21 of 500
bag 22 of 500
bag 23 of 500
bag 24 of 500
bag 25 of 500
bag 26 of 500
bag 27 of 500
bag 28 of 500
bag 29 of 500
bag 30 of 500
bag 31 of 500
bag 32 of 500
bag 33 of 500
bag 34 of 500
bag 35 of 500
bag 36 of 500
bag bag 37 of 500
38 of 500
bag 39 of 500
bag 40 of 500
bag 41 of 500
bag 42 of 500
bag 43 of 500
bag 44 of 500
bag 45 of 500
bag 46 of 500
bag 47 of 500
bag 48 of 500
bag 49 of 500
bag 50 of 500
bag 51 of 500
bag 52 of 500
bag 53 of 500
bag 54 of 500
bag 55 of 500
bag 56 of 500
bag 57 of 500
bag 58 of 500
bag 59 of 500
bag 60 of 500
bag 61 of 500
bag 62 of 500
bag 63 of 500
bag 64 of 500
bag 65 of 500
bag 66 of 500
bag 67 of 500
bag 68 of 500
bag 69 of 500
bag 70 of 500
bag 71 of 500
bag 72 of 500
bag 73 of 500
bag 74 of 500
bag 75 of 500
bag 76 of 500
bag 77 of 500
bag 78 of 500
bag 79 of 500
bag 80 of 500
bag 82 of 500
bag 81 of 500
bag 83 of 500
bag 84 of 500
bag 85 of 500
bag 86 of 500
bag 87 of 500
bag 88 of 500
bag 89 of 500
bag 90 of 500
bag 91 of 500
bag 92 of 500
bag 93 of 500
bag 94 of 500
bag 95 of 500
bag 96 of 500
bag 97 of 500
bag 98 of 500
bag 99 of 500
bag 100 of 500
bag 101 of 500
bag 102 of 500
bag 103 of 500
bag 104 of 500
bag 105 of 500
bag 106 of 500
bag 107 of 500
bag 108 of 500
bag 109 of 500
bag 110 of 500
bag 111 of 500
bag 112 of 500
bag 113 of 500
bag 114 of 500
bag 115 of 500
bag 116 of 500
bag 117 of 500
bag 118 of 500
bag 119 of 500
bag 120 of 500
bag 121 of 500
bag 122 of 500
bag 123 of 500
bag 124 of 500
bag 125 of 500
bag 126 of 500
bag 127 of 500
bag 128 of 500
bag 129 of 500
bag 130 of 500
bag 131 of 500
bag 132 of 500
bag 133 of 500
bag 134 of 500
bag 135 of 500
bag 136 of 500
bag 137 of 500
bag 138 of 500
bag 139 of 500
bag 140 of 500
bag 141 of 500
bag 142 of 500
bag 143 of 500
bag 144 of 500
bag 145 of 500
bag 146 of 500
bag 147 of 500
bag 148 of 500
bag 149 of 500
bag 150 of 500
bag 151 of 500
bag 152 of 500
bag 153 of 500
bag 154 of 500
bag 155 of 500
bag 156 of 500
bag 157 of 500
bag 158 of 500
bag 159 of 500
bag 160 of 500
bag 161 of 500
bag 162 of 500
bag 163 of 500
bag 164 of 500
bag 165 of 500
bag 166 of 500
bag 167 of 500
bag 168 of 500
bag 169 of 500
bag 170 of 500
bag 171 of 500
bag 172 of 500
bag 173 of 500
bag 174 of 500
bag 175 of 500
bag 176 of 500
bag 177 of 500
bag 178 of 500
bag 179 of 500
bag 180 of 500
bag 181 of 500
bag 182 of 500
bag bag 184 of 500
183 of 500
bag 185 of 500
bag 186 of 500
bag 187 of 500
bag 188 of 500
bag 189 of 500
bag 190 of 500
bag bag 192 of 500191 of 500

bag 193 of 500
bag 194 of 500
bag 195 of 500
bag 196 of 500
bag 197 of 500
bag 198 of 500
bag 199 of 500
bag 200 of 500
bag 201 of 500
bag 202 of 500
bag 203 of 500
bag 204 of 500
bag 205 of 500
bag 206 of 500
bag 207 of 500
bag 208 of 500
bag 209 of 500
bag 210 of 500
bag 211 of 500
bag 212 of 500
bag 213 of 500
bag 214 of 500
bag 215 of 500
bag 216 of 500
bag 217 of 500
bag 218 of 500
bag 219 of 500
bag 220 of 500
bag 221 of 500
bag 222 of 500
bag 223 of 500
bag 224 of 500
bag 225 of 500
bag 226 of 500
bag 227 of 500
bag 228 of 500
bag 229 of 500
bag 230 of 500
bag 231 of 500
bag 232 of 500
bag 233 of 500
bag 234 of 500
bag 235 of 500
bag 236 of 500
bag 237 of 500
bag 238 of 500
bag 239 of 500
bag 240 of 500
bag 241 of 500
bag 242 of 500
bag 243 of 500
bag 244 of 500
bag 245 of 500
bag 246 of 500
bag 247 of 500
bag 248 of 500
bag 249 of 500
bag 250 of 500
bag 251 of 500
bag 252 of 500
bag 253 of 500
bag 254 of 500
bag 255 of 500
bag 256 of 500
bag 257 of 500
bag 258 of 500
bag 259 of 500
bag 260 of 500
bag 261 of 500
bag 262 of 500
bag bag 263264 of 500
 of 500
bag 265 of 500
bag 266 of 500
bag 267 of 500
bag 268 of 500
bag 269 of 500
bag 270 of 500
bag 271 of 500
bag 272 of 500
bag 273 of 500
bag bag 275 of 500
274 of 500
bag 276 of 500
bag 277 of 500
bag 278 of 500
bag 279 of 500
bag 280 of 500
bag 281 of 500
bag 282 of 500
bag 283 of 500
bag 284 of 500
bag 285 of 500
bag 286 of 500
bag 287 of 500
bag 288 of 500
bag 289 of 500
bag 290 of 500
bag 291 of 500
bag 292 of 500
bag 293 of 500
bag 294 of 500
bag 295 of 500
bag 296 of 500
bag 297 of 500
bag 298 of 500
bag 300 of 500
bag 301 of 500
bag 299 of 500
bag 302 of 500
bag 303 of 500
bag 304 of 500
bag 305 of 500
bag 306 of 500
bag 307 of 500
bag 308 of 500
bag 309 of 500
bag 310 of 500
bag 311 of 500
bag 312 of 500
bag 313 of 500
bag 314 of 500
